Status of Permission/Denial for the Academic Year 2025-26 as on 11-11-2025,,,,,,,,,,
205,"Sharadchandraji Pawar Homoeopathic Medical College and Hospital, At Shiva Trust Campus, Wadala-Mahadev Tq. Shiriram Distt.
Ahmednagar-413739. sphmc111@gmail.com",Maharashtra,1658,Private,97,-,-,Permission with reduction of seats in UG Course,Conditional Permission,UG
206,"Shri Chamundamata Homoeopathic Medical College & Hospital, 9, 10, 11 Gayatri Nagar Telephone & Parakh Nagar, Jillha Peth, Jalgaon- 425003. Principal@homoeopathy ac.in",Maharashtra,1659,Private,88,-,-,Permission with reduction of seats in UG Course,Conditional Permission,UG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
207,"Smt. Chandaben Mohanbhai Patel Homoeopathic Medical College, Irla,Natakkar R.G. Gadkari Marg,Vile, Parle (West), Mumbai- 400 056. cmphmc@yahoo.com",Maharashtra,1660,Private,100,-,-,-,Permission,UG
208,"SSVP Homoeopathic Medical College & Research Institute, B-101, Tulsi Arcade, Connought Place, CIDCO, Aurangabad- 431003, Hingoli. svphomeopathichatta@gmail.com",Maharashtra,1661,Private,60,-,-,-,Permission,UG
209,"Vasantrao Kale Medical College & Hospital, P- 12,
M.I.D.C. Kallam Road,  Latur – 413 531. vkhmclatur@gmail.com",Maharashtra,1662,Private,75,-,-,-,Conditional Permission,UG
210,"Matoshri Homoeopathic Medical College, MKD Educational Campus, Eklahare, Tal. Nashik, Dist.
Nashik - 422105. eduyeola2@gmail.com",Maharashtra,1666,Private,0,-,-,-,Denial,UG
211,"Sai Homoeopathic Medical College, At Gat No. 67, Solapur-Barshi Highway, Sasure (Vairag), Tal- Barshi, Dist. Solapur 413402. saihomoeopathy14@gmail.com",Maharashtra,1667,Private,100,-,-,-,Conditional Permission,UG
212,"Venutai Yashwantrao Chavan Homoeopathic Medical College, 2968 “C”, Dasara Chowk, Kolhapur -416002. vychmc44@gmail.com",Maharashtra,1663,Private,0,-,-,-,Denial,UG
213,"Dr. R.N. Lahoti homoeopathy medical college, hospital and research center, Sultanpur (MS) , Survey No. 900/1, 900/2, At Po. Sultanpur, Tq. Lonar, Dist. Buldhana, Maharashtra - 443302. drrnlhmc@gmail.com",Maharashtra,1665,Private,50,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
214,"Anand College of Homoeopathy, At. Phulewadi Road, Vaijapur Tal. Vaijapur, Dist. Chhatrapati Sambhajinagar, Maharashtra. Email id: anandhomeo11@gmail.com",Maharashtra,1668,Private,60,-,-,-,Permission,UG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
215,"Muhammad Wahed Homoeopathic Medical College and Research Centre. At Anwapada, Post. Anwa Tq. Bhokardan, Dist-Jalna - 431112. Email id: binyaminvastanvi@gmail.com, mwhmc20@gmail.com",Maharashtra,1669,Private,60,-,-,-,Permission,UG
216,"Shalintai Meghe Homoeopathy Hospital College and Research Center, Wanadongri, Hingna, Nagpur - 441110 Maharashtra.
Email id: info@dmiher.edu.in, homeopathycollege@dmiher.edu.in",Maharashtra,1670,Private/Deemed University,100,-,-,-,Permission,UG
217,"Ashokrao mane Homoeopathic Medical College & Hospital, R.S.NO.19/A, Peth Vadgaon, Hatkanangale, Kolhapur, Maharashtra - 416112.",Maharashtra,,Private,100,-,-,-,Conditional Permission,UG
218,"North Eastern Institute of Ayurveda and Homoeopathy, Mawdiangdiang, Shillong-793018. dir-neiah@nic.in, neiahshillong@gmail.com",Meghalaya,1701,Govt./NI,63,8,"Organon of Medicine-02 Materia Medica-02 Repertory-02
Practice of Medicine-02",-,Conditional Permission,UG+PG
219,"Cuttack Homoeopathic Medical College, Naya Bazar, Cuttack-753004. pksatapathy2013@gmail.com",Odisha,1801,Private,0,-,-,-,Denial,UG
220,"Mayurbhanj Homoeopathic Medical College and Hospital, At & P.O. Baripada, Distt.
Mayurbhanj-757029. mhmchbaripada@gmail.com",Odisha,1804,Private,0,-,-,-,Denial,UG
221,"Dr. Abhin Chandra Homoeopathic Medical College and Hospital, Unit-III, Kharvela Nagar, Bhubaneswar, Distt. Puri.
-751 001. drachmch@gmail.com",Odisha,1802,Govt.,50,3,Materia Medica-3,Permission with Reduction of Seats in UG & PG Course,Permission,UG+PG
222,"Manjari Devi Homoeopathic Medical College and Hospital, At-Puranapadhan ,Plot No-262, Post- Sisilo, Via Balakati , P.S-Balianta, Bhubaneswar, Dist-Khordha -752100. manjaridevihospitalbhubaneswar@gmail.com",Odisha,1806,Private,0,-,-,-,Denial,UG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
223,"Biju Pattnaik Homoeopathic Medical College, Berhampur- 760001 Ganjam. bphmch@gmail.com",Odisha,1803,Govt.,25,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
224,"Orissa Medical College of Homoeopathy & Research, Sambalpur-768 001. principalomchr@gmail.com",Odisha,1805,Govt.,25,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
225,"Utkalmani Homoeopathic Medical College & Hospital, Naya Bazar, Rourkela-769010. pandadrratnakar@gmail.com, uhmcrkl@gmail.com",Odisha,1807,Govt.,25,-,-,Permission with reduction of seats in UG Course,Permission,UG
226,"Homoeopathic Medical College, Hanumangarh Road,Near Bye Pass), Abohar-152 116. hmcabohar@yahoo.com",Punjab,1901,Private,48,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
227,"Kalyan Homoeopathic Medical College & Hospital Jandiala Rd, St. Marry Colony, Tarn Taran Sahib, Punjab 143401. kalyanhmc92@yahoo.com",Punjab,1903,Private,0,-,-,-,Denial,UG
228,"Sri Gurunanak Dev Homoeopathic Medical College, Canal Road, Barewal, Near Punjab Agricultural University. Via Ayalikalan, Ludhiana- 142027. sgndhmc@yahoo.co.in",Punjab,1902,Private,0,0,0,-,Denial,UG+PG
229,"Lord Mahavira Homoeopathic Medical College, Dr. Hahnemann Chowk, Kitchlu Nagar, Civil Lines, Ludhiana- 141 001. lmhmcldh@gmail.com",Punjab,1904,Private,40,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
230,"Mangilal Nirban Homoeopathic Medical College and Research Institute, M.N.S. Hospital & Research Center, Bikaner-334001. mnhmcbikaner@yahoo.com",Rajasthan,2001,Private,38,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
231,"Bharatiya Homoeopathic Medical College and Hospital, NH-11, Agra- Fatehpur Sikri Road, Bhartpur – 320001. bhmcbharatpur72@gmail.com",Rajasthan,2004,Private,0,-,-,-,Denial,UG
232,"Sri Ganganagar Homoeopathic Medical College, Hanumangarh Road, Sriganganagar- 335002. sgnrhmc@gmail.com",Rajasthan,2002,Private,100,30,"Organon of Medicine-5 Materia Medica-5 Repertory-5
Practice of Medicine-5 Paediatrics-5
Psychiatry-5",-,Conditional Permission,UG+PG
233,"Swasthya Kalyan Homoeopathic Medical College & Research Centre, Jai Villa, Narain
Singh Road, Near Trimurti Circle, Jaipur-302004. principalskhmc@gmail.com",Rajasthan,2003,Private,100,28,"Organon of Medicine-6 Materia Medica-4 Repertory-4
Practice of Medicine-3 Paediatrics-3 Psychiatry-5 Pharmacy-3",-,Conditional Permission,UG+PG
234,"Aarogya Homoeopathic Medical College, P.No.104/1, Dhani Kagota Ki Naila Kanota, Jamwaramgarh, Jaipur- 303012. svspseducation@gmail.com",Rajasthan,2005,Private,0,-,-,-,Denial,UG
235,"Rajasthan Vidyapeeth Homoeopathic Medical College, Vidyapeeth Campus, Dabok, Udaipur- 313 002. rvhmcdabok123@gmail.com",Rajasthan,2006,Private/Deemed University,100,8,Practice of Medicine-4 Paediatrics-4,-,Conditional Permission,UG+PG
236,"Under Faculty of Homoeopathic Sciences, Jayoti Vidyapeeth Women’s University, Vedaant Gyan Valley, Jharna, Mahala Jobber, Link Road, Jaipur- Ajmer Express Way , NH-8, Jaipur-303122 . jvwuni@yahoo.com",Rajasthan,2007,Private,0,-,-,-,Denial,UG
237,"Madhav Homoeopathic Medical College and Hospital, Madhav Hills, Post-Bharja, Tehsil- Pindwara, Opp. Banas River Bridge Toll, NH- 27, Abu Road, Sirohi-307026. dean.homoeopathy@madhavuniversity.edu.in",Rajasthan,2008,Private,60,-,-,-,Conditional Permission,UG
238,"Dr. Madan Pratap Khuteta  Homoeopathic Medical College, Homoeopathy Plot No.10-11 & 12, Village Saipura, Sanganer, Jaipur – 302029. drmpkhmcsociety@gmail.com",Rajasthan,2009,Private,100,34,"Organon of Medicine-6 Materia Medica-6 Repertory-6
Practice of Medicine-6
Paediatrics-4 Pharmacy-6",-,Conditional Permission,UG+PG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
239,"University College of Homoeopathy,  Kadwad, Jodhpur  342037.  uch.jodhpur@gmail.com",Rajasthan,2011,Govt.,75,-,-,-,Conditional Permission,UG
240,"University College of Homoeopathy, Kekri, Ajmeri Gate, CHC old building, Kekri, Ajmer - 305404 . uchkekri@gmail.com",Rajasthan,2010,Govt.,75,-,-,-,Conditional Permission,UG
241,"Yuvraj Pratap Singh Memorial Homoeopathic Medical College, Shivaji Park, Alwar.- 301 001. ypsmhomoeo@gmail.com",Rajasthan,2013,Private,30,-,-,-,Conditional Permission,UG
242,"Martin Homoeopathic Medical College & Hospital, D.P.F. Mill Premises, G.N. Mills (P.O.), Mettupalayam Road, Coimbatore-641029. homoeocollege@gmail.com",Tamil Nadu,2101,Private,50,-,-,-,Conditional Permission,UG
243,"Sri Sairam Homoeopathic Medical College and Research Centre, (Sapthagiri Education Trust), Sai Leo Nagar Tambaram West Chennai- 600044. principal@sairamhomoeo.edu.in",Tamil Nadu,2102,Private,50,-,-,-,Conditional Permission,UG
244,"Venkateswara Homoeopathic Medical College and Hospital No. 4/11, Samayapuram Main Road, Karambakkam, Porur, Chennai-600116. vhmc2000@yahoo.com",Tamil Nadu,2103,Private,100,-,-,-,Conditional Permission,UG
245,"Sarada Krishna Homoeopathy Medical College, Kulasekharam  Distt. Kanyakumari-629161. college@skhmc.org",Tamil Nadu,2104,Private,100,41,"Organon of Medicine-6 Materia Medica-6 Repertory-6
Practice of Medicine-6 Paediatrics-6 Pharmacy-6 Psychiatry-5",-,Permission,UG+PG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
246,"Vinayaka Mission’s Homoeopathic Medical College, Chinnaseeragapadi, P.O. NH 47, Sankari Main Road, Salem- 636 308. principal.vmhmc@vmu.edu.in",Tamil Nadu,2105,Private/Deemed University,100,21,"Organon of Medicine-3 Materia Medica-3 Repertory-3
Practice of Medicine-3 Paediatrics-3 Pharmacy-3 Psychiatry-3",-,Conditional Permission,UG+PG
247,"White Memorial Homoeopathic Medical College, Attoor, Veeyanoor-629 177.Dist. Kanyakumari. wmhmc062@gmail.com",Tamil Nadu,2106,Private,100,25,"Organon of Medicine-5 Materia Medica-5 Repertory-5
Practice of Medicine-5 Paediatrics-5",-,Conditional Permission,UG+PG
248,"Dr. Hahnemann Homoeopathy Medical College, & Research Centre. Koneripatti, Rasipuram, Namakkal Dist- 637408. drhmcrc@gmail.com",Tamil Nadu,2107,Private,100,-,-,-,Conditional Permission,UG
249,"Excel Homoeopathy Medical College
NH 544 Ranganoor Road, , Sankari West Post, Pallakkapalayam, Komarapalayam, Namakkal- 637303. principalbhms@excelcolleges.com",Tamil Nadu,2108,Private,100,-,-,-,Conditional Permission,UG
250,"Govt. Homoeopathic Medical College and Hospital, At. Thirumangalam, Dist. Madurai – 626706. ghmchtmm@gmail.com",Tamil Nadu,2109,Govt.,63,-,-,-,Conditional Permission,UG
251,"Maria Educational and Charitable Trust, Chevaracode Kanyakumari’s Maria Homoeoapthic Medical College and Hospital, Perai Thiruvattar P.O., Kanyakumari Distt.,- 629177. mariahomoeocollege@gmail.com",Tamil Nadu,2110,Private,100,36,"Organon of Medicine - 6 Materia Medica - 6 Repertory - 6
Homoeopathic Pharmacy - 6 Practice of Medicine - 6 Paediatrics - 6",-,Conditional Permission,UG+PG
252,"R.V.S. Homoeopathy Medical College and Hospital, 242 B, Trichy Road, Sulur, Coimbatore
Distt.- 402. rvs.homoeo@gmail.com",Tamil Nadu,2111,Private,50,-,-,-,Conditional Permission,UG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
253,"Sivaraj Homoeopathic Medical College & Research Institute, Siddhar Kovil Road, Thumbathulipatty, Perumampathy  (P.O.), Salem- 636 307. sivarajcolleges@yahoo.com",Tamil Nadu,2112,Private,50,-,-,-,Conditional Permission,UG
254,"S.V.S. Medical College of Homoeopathy and Research Institute, Kallakurichi Villupuram District-606202. svsmc.trust@gmail.com",Tamil Nadu,2113,Private,0,-,-,-,Denial,UG
255,"Shri Barani Homoeopathic Medical College and Hospital, Tiruchengode, Namakkal. shribaranihmch@gmail.com",Tamil Nadu,2114,Private,0,-,-,-,Denial,UG
256,"J.S.P.S. Govt. Homoeopathic Medical College, Ramanathapur, Hyderabad-500 013.
jspsghmchydts@gmail.com",Telangana,2201,Govt.,125,38,"Organon of Medicine-7 Materia Medica-8 Repertory-7
Practice of Medicine-4 Paediatrics-4 Pharmacy-4 Psychiatry-4",-,Conditional Permission,UG+PG
257,"JIMS Homoeopathic Medical College & Hospital, Sriramnagar, Muchintal Village, Palamakula P.O., Shamshabad Mandal, Ranga Reddy District- 509325. jimshmch@gmail.com",Telangana,2202,Private,100,54,"Organon of Medicine-9 Materia Medica-9 Repertory-9
Practice of Medicine-9 Paediatrics-6 Pharmacy-6 Psychiatry-6",-,Permission,UG+PG
258,"Devs Homoeopathic Medical College and Hospital, Devanagar, Ankireddy palli, Kesara Mandal, R. R. District.--501301. devsmedical@gmail.com",Telangana,2203,Private,50,-,-,-,Conditional Permission,UG
259,"MNR Homoeopathic Medical College & Hospital, 2- 23B/350, Bhagyanagar Phase-III, Near HMT Hills Colony, Opp;JNTU, Kukatpally, Hyderabad- 500085.
info@mnrindia.org, p.mnrhmc@mnrindia.org",Telangana,2205,Private,100,53,"Organon of Medicine-8 Materia Medica-7 Repertory-9
Practice of Medicine-8 Paediatrics-7 Pharmacy-6 Psychiatry-8",-,Conditional Permission,UG+PG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
260,"Shreyaan Ishaan Educational Society, Hamsa Homoeopathy Medical College, Hospital and Research Centre, Kasheersagar Village, Mulugu Mandal, Medak Distt.-502279. hamsahomeopathy@gmail.com",Telangana,2206,Private,70,28,"Materia Medica-04 Homoeopathic Pharmacy-04 Organon of Medicine-04 Repertory-04
Practice of Medicine-04 Psychiatry-04 Paediatrics-04",Permission with Reduction of Seats in UG & PG Course,Permission,UG+PG
261,"Guru nanak Homoeopathic Medical College & Hospital, Ibrahimpatnam, Ranareddy District, Hyderabad-501506. Principal.uih@gnuindia.org",Telangana,2204,Private,80,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
262,"Sh. Sainath Post Graduate Institute of Homoeopathic Medical College and Research Center, 109/04, Gorge Town, Prayagraj-211003. snpgi@rediffmail.com",Uttar Pradesh,2407,Private,-,0,0,-,Denial,PG
263,"National Homoeopathic Medical College & Hospital, 1, Viraj Khand, Gomti Nagar, Lucknow - 226001. nhmclko@yahoo.co.in",Uttar Pradesh,2401,Govt.,125,23,"Organon of Medicine-  8 Materia Medica- 8
Repertory- 7",-,Conditional Permission,UG+PG
264,"Bakson Homoeopathic Medical College, B-36, Knowledge Park, Phase-I, Greater NOIDA, Dist.
Gautam Budha Nagar- 201306. college@bakson.net",Uttar Pradesh,2402,Private,100,42,"Organon of Medicine-6 Materia Medica-6 Repertory-6
Practice of Medicine-6 Paediatrics-6 Pharmacy-6 Psychiatry-6",-,Conditional Permission,UG+PG
265,"Naiminath Homoeopathic Medical College, Hospital & Research Centre, Village Nawalpur, Tehsil Etmadpur, Agra.- 283206. nhmcagra@gmail.com",Uttar Pradesh,2403,Private,70,26,"Organon of Medicine-3 Materia Medica-4 Repertory-3
Practice of Medicine-6
Paediatrics-5 Pharmacy-5",Permission with Reduction of Seats in UG & PG Course,Permission,UG+PG
266,"Pt. Jawaharlal Nehru State Homoeopathic Medical College and Hospital, Block A/1, Scheme- 38, Lakhanpur, Kalyanpur, Kanpur- 208024. pjlnrhmc@gmail.com",Uttar Pradesh,2404,Govt.,125,15,Materia Medica- 8 Repertory-7,-,Conditional Permission,UG+PG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
267,"State Lal Bahadur Shastri Homoeopathic Medical College and Hospital, Phaphamau, Allahabad. drhemlata2@gmail.com",Uttar Pradesh,2405,Govt.,125,13,Materia Medica-13,-,Conditional Permission,UG+PG
268,"State Dr. Brij Kishore Homoeopathic Medical College and Hospital, Deokali, Faizabad-224001. principalbkhm@gmail.com",Uttar Pradesh,2406,Govt.,38,-,-,-,Conditional Permission,UG
269,"State Ghazipur Homoeopathic Medical College and Hospital, Rauza, Ghazipur- 233001. ghmcgzp@gmail.com",Uttar Pradesh,2408,Govt.,63,-,-,-,Permission,UG
270,"State Homeopathic Medical College and Hospital, Gorakhpur-273402. principalshmcg@gmail.com",Uttar Pradesh,2409,Govt.,125,-,-,-,Conditional Permission,UG
271,"State Homoeopathic Medical College & Hospital, Kasimpur Road, Chherat, Aligarh- 202122. rhmcaligarh@gmail.com",Uttar Pradesh,2410,Govt.,75,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
272,"State K.G.K. Homoeopathic Medical College and Hospital, Rly. Line Par, Moradabad- 001. principalkgkhmcollege@gmail.com",Uttar Pradesh,2411,Govt.,125,-,-,-,Conditional Permission,UG
273,"State Shri Durgaji Homoeopathic Medical College and Hospital, Chandeshwar, Dist. Azamgarh- 276001. principalsdjh13@gmail.com",Uttar Pradesh,2412,Govt.,88,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
274,"G.C.Homoeopathic College & Research CenterHomoeopathic College & Research Center, Vill-Parvatpur, Post-Indaurabagh, Chandrika Devi Road, Bakshi Ka Talab, Lucknow , Uttar Pradesh- 226202. ps.chairman@gcrg.in draaijaz@yahoo.com",Uttar Pradesh,2413,Private,100,-,-,-,Conditional Permission,UG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
275,"Indian Institute Of Homoeopathy & Hospital , Kakardahi, Post-Baghpur, Kalyanpur, Shivli road, Kanpur (D), Uttar pradesh-209307. iihhdirector@gmail.com",Uttar Pradesh,2414,Private,0,-,-,-,Denial,UG
276,"Singh Sahab Homoeopathic Medical College & Hospital, Vill. Gulariya, Amroha 244221. Email id: sshmcollege@gmail.com",Uttar Pradesh,2415,Private,60,-,-,-,Conditional Permission,UG
277,"Dayalbagh Educational Institute, Homoeopathic Medical College (Deemed to be University), Dayalbagh, Agra-282005. hmcdayalbagh@dei.ac.in",Uttar Pradesh,2416,Private/Deemed University,60,-,-,-,Conditional Permission,UG
278,"Param Himalaya Homoeopathic  Medical College & Research Centre,  Khairi Road, Doiwala, Dehradun-248140. phhmcdehradun@gmail.com",Uttarakhand,2301,Private,0,-,-,-,Denial,UG
279,"Chandola Homoeopathic Medical College & Hospital, Kichcha Road, Ruderpur, P.O. Lalpur, Dist. Udhamsingh Nagar-263148. Nainital. chandola@chandolahomeocollege.com",Uttarakhand,2302,Private,35,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
280,"Bengal Homoeopathic Medical College and Hospital, Ismile, P.O. Asansol-713 301, Dist. Burdwan. bhmchasansol713301@gmail.com",West Bengal,2501,Private,0,-,-,-,Denial,UG
281,"Birbhum Vivekanand Homoeopathic Medical College and Hospital, P.O. Sainthia, Distt.
Birbhum-731234. bvhmchsainthia@gmail.com",West Bengal,2502,Private,30,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
282,"Netai Charan Chakravarty Homoeopathic Medical College and Hospital, 45,  ‘F’ Road, Belgachia, Howrah-711101. dr.joydevghosh@gmail.com",West Bengal,2503,Private,30,-,-,Permission with reduction of seats in UG Course,Permission,UG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
283,"D.N.De. Homoeopathic Medical College and Hospital, 12, G.K. Road, Kolkata -700 046. dndeofficial@gmail.com",West Bengal,2504,Govt.,63,31,"Organon of Medicine-7 Materia Medica-8 Repertory-8
Pharmacy-4 Practice of Medicine-4",-,Conditional Permission,UG+PG
284,"Mahesh Bhattacharya Homoeopathic Medical College and Hospital, H.I.T. Road, Ichapur, Doomurjala Howrah-711104. principalmbhmch@gmail.com",West Bengal,2505,Govt.,63,18,"Materia Medica- 8
Repertory- 7 Practice of Medicine- 3",-,Conditional Permission,UG+PG
285,"National Institute of Homoeopathy, Block- GE, Sector III, Salt Lake, Kolkata- 700106. admin.nih@nic.in",West Bengal,2506,Govt./NI,126,47,"Organon of Medicine 12 Materia Medica-12 Repertory-11
Practice of Medicine-4 Paediatrics-4
Pharmacy-4",-,Conditional Permission,UG+PG
286,"The Calcutta Homoeopathic Medical College and Hospital, 265/66, Acharya Prafulla Chandra Road, Kolkata-700009. chmch_1881@rediffmail.com",West Bengal,2507,Govt.,63,20,Practice of Medicine-8 Materia Medica -3 Organon of Medicine-3 Homoeopathic Pharmacy-3 Pediatrics-3,-,Conditional Permission,UG+PG
287,"Burdwan Homoeopathic Medical College and Hospital, Nimbarak Bhavan Raj Ganj P.O. Nutanganj, Distt. Burdwan- 713 102. bhmchospital78@gmail.com",West Bengal,2508,Private,25,-,-,Permission with reduction of seats in UG Course,Permission,UG
288,"Kharagpur Homoeopathic Medical College and Hospital, At Kaushallya, P.O. Kharagpur-721301.
Distt. Midnapore. kgphmch@gmail.com",West Bengal,2509,Private,0,-,-,-,Denial,UG
289,"Metropolitan Homoeopathic Medical College and Hospital, Ramchandrapur, Sodepur, Kolkata- 700110. mhmch1@gmail.com",West Bengal,2510,Private,50,-,-,-,Conditional Permission,UG
290,"Midnapore Homoeopathic Medical College and Hospital, P. O. and Dist. Midnapore-721 104. mhmch1945@gmail.com",West Bengal,2511,Govt.,50,-,-,Permission with Reduction of Seats in UG Course,Permission,UG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
291,"Pratap Chandra Memorial Homoeopathic Hospital and College, 14/1,Narkeldanga North Road, Kolkata-700 011. pcmhhc@gmail.com",West Bengal,2512,Private,0,-,-,-,Denial,UG
